fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
37077,10.4,9.7,110.6672857,61,30.4,0.6,0.5,0,3.9,7.8,13.9,84.2,22.3,46.5,153.4,90.9,43.82968885,14.90438748,38.79952856,55.17762519,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,537.591,1
37079,12.2,10.2,78.75863672,58.4,35.7,0.5,0.1,0,2.8,14.8,25.7,74.1,10.5,43,185.9,83.4,191.7117482,190.0846895,218.1608239,90.7553826,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,267.209,0
37083,13,12.2,71.48601147,40.1,52.9,3.8,0.8,0.1,2,2.8,25.2,77.5,14.4,36.2,192.2,88.6,145.0086772,112.1569191,168.794975,45.7805056,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,730.271,1
37085,10.3,8.4,219.0845442,67.5,20.8,0.9,1.1,0.2,4.1,12.4,17,86.3,20.7,49.1,128.2,88.7,76.51598418,66.29794328,102.1434357,30.9112543,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,601.345,1
37091,12.1,10.5,68.39032291,34.9,59.5,1.1,0.7,0.2,2.4,3.7,23.4,79.2,14.6,37.2,184.7,87.7,122.0962499,144.9723075,156.131429,81.00485893,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,360.399,1
37095,7,NA,8.807299296,66.3,30.3,0.1,0,0,0.7,9.9,22.3,81.6,9.4,50.4,245.3,84.2,94.34735675,111.3528097,141.1584873,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1459.04,0
37099,11.2,9.4,86.02728459,83.7,2.3,8.2,0.7,0,3.2,5.6,19.4,88.4,30.5,40.9,170.3,87,8.650367574,2.890920677,5.763518617,1.093256622,0,0,0,0,0,0,0,0,TRUE,FALSE,0,4,494.959,1
37105,10.5,9.6,235.7269997,73.4,19.8,0.8,1.1,0,2,19.2,16.1,83.4,20.9,47.5,179.2,85.9,44.80871318,44.99690271,59.84427316,42.07212364,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,259.203,1
37107,11,10.8,143.3947986,55,39.4,0.3,0.5,0,3.6,7.6,23,80.4,14.5,41.7,201.6,86.7,156.8404884,177.7757732,186.0847384,64.71020103,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,401.365,1
37111,11.6,10.8,102.5309407,91.1,3.6,0.4,0.7,0,1.4,6,17.1,83.8,16.9,52.6,223.8,88.6,12.8649521,NA,5.582389108,2.866202225,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,445.352,1
37113,13.1,8.7,66.73985228,93.8,1.4,0.6,0.8,0,0.9,6.9,16.6,88.6,24.2,55.4,241.2,85.8,9.482450968,0.455793818,3.405846574,0.768061072,0,0,0,0,0,0,0,0,TRUE,FALSE,0,5,519.674,1
37117,12,12.4,50.50994139,54.5,42,0.5,0.6,0.4,1.1,3.9,18.2,83.3,16.8,42.4,274.6,89.6,174.5807088,182.5623049,209.5722189,13.44141973,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,456.713,1
37121,11.5,8.3,67.97678665,96.4,0.4,0.4,0.3,0,1.5,5.3,14,84.5,18.8,54.1,277.2,87.4,11.64735234,2.381899373,7.258691447,1.242926618,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,221.881,0
